INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
177934247,2018-04-07,19:48:00,BROOKLYN,79,0,UNKNOWN,True,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1000082.9375,189064.671875,40.685609672000055,-73.94291302299996,POINT (-73.94291302299996 40.685609672000055)
72616285,2010-05-09,01:58:00,BRONX,46,0,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,<18,F,BLACK,1009853.5,247502.5625,40.84598358900007,-73.90746098599993,POINT (-73.90746098599993 40.84598358900007)
85875439,2012-07-22,21:35:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,18-24,M,BLACK,1011046.6875,239814.234375,40.82487781900005,-73.90317908399999,POINT (-73.90317908399999 40.82487781900005)
142324890,2015-04-21,15:36:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK,25-44,M,BLACK,1012960.0625,182221.609375,40.66679461900002,-73.89651148199994,POINT (-73.89651148199994 40.66679461900003)
152868707,2016-05-07,15:23:00,BROOKLYN,69,0,UNKNOWN,False,18-24,M,BLACK,18-24,M,BLACK,1011467.0,172461.0,40.64000860200008,-73.90193284499996,POINT (-73.90193284499998 40.64000860200008)
25036119,2006-10-30,00:20:00,BRONX,40,0,UNKNOWN,False,25-44,M,BLACK HISPANIC,<18,M,BLACK HISPANIC,1008973.0,233961.0,40.808818385000045,-73.91069333199994,POINT (-73.91069333199994 40.80881838500005)
61459877,2009-05-06,22:20:00,BROOKLYN,71,0,UNKNOWN,False,18-24,M,BLACK,18-24,M,BLACK,1002948.4375,182617.640625,40.66790844000008,-73.93259885099997,POINT (-73.93259885099997 40.667908440000076)
79489506,2011-06-24,04:36:00,BRONX,47,0,UNKNOWN,True,18-24,M,BLACK,25-44,M,BLACK,1023013.375,262080.3125,40.88594708000005,-73.85981210199996,POINT (-73.85981210199998 40.88594708000005)
38936881,2008-02-05,20:30:00,MANHATTAN,34,0,MULTI DWELL - APT BUILD,True,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1005112.1875,255330.859375,40.867482393000046,-73.92457346099997,POINT (-73.92457346099997 40.867482393000046)
154617363,2016-07-05,20:15:00,BRONX,41,0,UNKNOWN,False,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1011153.25,235311.59375,40.812519018000046,-73.90281209999995,POINT (-73.90281209999995 40.812519018000046)
240321668,2022-02-08,20:02:00,BROOKLYN,69,0,UNKNOWN,False,25-44,M,BLACK,25-44,M,BLACK,1008366.0,171800.0,40.638196,-73.913105,POINT (-73.913105 40.638196)
136598716,2014-05-05,19:28:00,QUEENS,113,0,UNKNOWN,True,25-44,M,BLACK,18-24,M,BLACK,1041528.875,189745.875,40.68730824500005,-73.79346701799993,POINT (-73.79346701799994 40.687308245000054)
33430214,2007-07-29,04:06:00,BRONX,52,0,UNKNOWN,False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1013635.8125,256599.59375,40.87094042100006,-73.89375044799993,POINT (-73.89375044799993 40.87094042100006)
225295736,2021-03-07,06:15:00,BROOKLYN,75,0,UNKNOWN,False,25-44,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1020492.0,187865.0,40.68225681500007,-73.86933111399996,POINT (-73.86933111399996 40.68225681500007)
224354730,2021-02-12,05:15:00,BRONX,43,0,UNKNOWN,False,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1018728.0,242744.0,40.832892539000056,-73.87540977699997,POINT (-73.87540977699997 40.832892539000056)
25055208,2006-10-31,01:24:00,BRONX,40,0,UNKNOWN,False,25-44,M,BLACK,18-24,M,BLACK,1010580.3125,236353.1875,40.81537962700003,-73.90487777799996,POINT (-73.90487777799996 40.81537962700003)
217211030,2020-08-29,02:40:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1010525.875,236982.46875,40.81710698900008,-73.90507198099994,POINT (-73.90507198099994 40.81710698900008)
224079783,2021-02-06,19:30:00,BRONX,45,0,UNKNOWN,True,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1031944.0,249990.0,40.85271917500006,-73.82760025499994,POINT (-73.82760025499994 40.85271917500006)
